,KIE,PJP,XBI,XLV,KIE_vol,PJP_vol,XBI_vol,XLV_vol,cpi,unemployment,interest_rate,trends_flu_symptoms,trends_fever,trends_shortness_of_breath,wili,ili,num_ili,num_patients,nchs_deaths
2010-01-10,9.057225227355957,15.203442573547363,17.86500358581543,24.00796127319336,0.008309592313976783,0.003637132284242427,0.005599831343306768,0.008325845725879848,217.488,9.8,0.11,14,47,2,1.86737529968374,1.82748623353375,14088,770895,8641568.0
2010-01-17,9.049768447875977,15.413590431213379,17.6917781829834,24.340349197387695,0.009687600992879766,0.010255056568695384,0.013182180287897015,0.009302253828523736,217.488,9.8,0.11,13,45,3,1.88072330631514,1.92605625070969,14757,766177,8641568.0
2010-01-24,8.721590042114258,15.033717155456543,17.666114807128906,23.917306900024414,0.018963680818826767,0.019509107405745824,0.016421450934873454,0.019749361590652485,217.488,9.8,0.11,11,49,3,1.96908433236079,1.92494717278953,15122,785580,8641568.0
2010-01-31,8.768827438354492,15.049875259399414,17.733476638793945,23.630233764648438,0.011463958905243,0.0070549884847220835,0.010719580332535948,0.005937719827769766,217.488,9.8,0.11,10,49,2,2.11386811062075,2.0887684250423,16037,767773,8641568.0
2010-02-07,8.656946182250977,14.823567390441895,17.617998123168945,23.290281295776367,0.022844538949551577,0.017173597278252208,0.027867526112459663,0.017661489930304988,217.281,9.8,0.13,10,50,3,2.09694583121344,2.03434082648651,15381,756068,8641568.0
2010-02-14,8.756394386291504,14.969054222106934,18.18579864501953,23.320507049560547,0.010984549450111925,0.006804428464807187,0.01097225576580176,0.0065893902222920134,217.281,9.8,0.13,9,47,3,1.90294345645018,1.97649460514715,15065,762208,8641568.0
2010-02-21,9.129323959350586,15.332765579223633,18.349409103393555,23.819095611572266,0.006685355009827988,0.004454101151917998,0.012567365789770912,0.0039005160255163665,217.281,9.8,0.13,8,51,3,1.96951462278194,1.99361774638287,16087,806925,8641568.0
2010-02-28,9.193965911865234,15.437838554382324,18.06389808654785,23.720890045166016,0.010990405215116034,0.009602574330472556,0.009992333901274207,0.006151276220248675,217.281,9.8,0.13,8,48,3,1.92331036712421,1.85382596354543,14486,781411,8641568.0
2010-03-07,9.569380760192871,15.84197998046875,18.939664840698242,24.189258575439453,0.00628334971678279,0.005204697663707002,0.027908354247004875,0.007812823602319137,217.353,9.9,0.16,7,50,3,1.89658616483482,1.86730358448397,14354,768702,8641568.0
2010-03-14,9.701151847839355,16.003633499145508,19.388778686523438,24.053279876708984,0.004788103035753976,0.005311882906833055,0.007652441966226272,0.0060715636702936,217.353,9.9,0.16,7,49,3,1.75180555050134,1.69986766366336,12601,741293,8641568.0
