date,flu symptoms,fever,shortness of breath
2009-12-27,20,41,3
2010-01-03,16,43,2
2010-01-10,14,47,2
2010-01-17,13,44,3
2010-01-24,11,50,3
2010-01-31,10,47,2
2010-02-07,10,49,3
2010-02-14,9,51,3
2010-02-21,8,50,3
2010-02-28,8,50,3
2010-03-07,7,48,3
2010-03-14,7,48,3
2010-03-21,5,50,3
2010-03-28,5,46,3
2010-04-04,5,47,3
2010-04-11,4,48,2
2010-04-18,4,49,2
2010-04-25,4,50,2
2010-05-02,4,53,2
2010-05-09,3,48,3
2010-05-16,3,49,3
2010-05-23,3,49,2
2010-05-30,3,43,3
2010-06-06,3,43,3
2010-06-13,3,42,2
2010-06-20,3,43,3
2010-06-27,2,41,3
2010-07-04,3,44,3
2010-07-11,2,47,2
2010-07-18,2,46,2
2010-07-25,2,45,2
2010-08-01,2,46,3
2010-08-08,3,45,3
2010-08-15,2,44,2
2010-08-22,3,45,2
2010-08-29,3,45,2
2010-09-05,4,47,2
2010-09-12,4,47,2
2010-09-19,4,44,2
2010-09-26,5,47,2
2010-10-03,6,45,2
2010-10-10,6,45,2
2010-10-17,6,48,2
2010-10-24,6,46,3
2010-10-31,6,77,2
2010-11-07,7,48,2
2010-11-14,7,48,2
2010-11-21,6,44,2
2010-11-28,7,47,2
2010-12-05,7,47,2
2010-12-12,8,49,2
2010-12-19,9,50,2
2010-12-26,11,54,2
2011-01-02,14,58,3
2011-01-09,11,59,2
2011-01-16,13,61,3
2011-01-23,14,70,3
2011-01-30,15,71,3
2011-02-06,15,72,3
2011-02-13,16,83,3
2011-02-20,13,76,3
2011-02-27,11,70,3
2011-03-06,9,64,3
2011-03-13,8,65,3
2011-03-20,7,65,3
2011-03-27,6,64,3
2011-04-03,5,61,3
2011-04-10,5,59,3
2011-04-17,4,57,3
2011-04-24,4,54,3
2011-05-01,4,55,3
2011-05-08,3,57,3
2011-05-15,3,56,3
2011-05-22,3,55,3
2011-05-29,3,55,3
2011-06-05,3,60,3
2011-06-12,3,54,3
2011-06-19,3,53,3
2011-06-26,3,53,3
2011-07-03,2,52,3
2011-07-10,2,49,3
2011-07-17,2,52,3
2011-07-24,2,49,3
2011-07-31,2,50,3
2011-08-07,3,47,3
2011-08-14,3,47,3
2011-08-21,3,46,3
2011-08-28,3,49,3
2011-09-04,4,50,3
2011-09-11,5,54,3
2011-09-18,6,54,3
2011-09-25,7,57,3
2011-10-02,7,53,3
2011-10-09,7,52,3
2011-10-16,8,54,3
2011-10-23,8,51,3
2011-10-30,8,54,3
2011-11-06,8,53,3
2011-11-13,8,60,3
2011-11-20,7,50,3
2011-11-27,8,54,3
2011-12-04,8,53,2
2011-12-11,8,54,2
2011-12-18,8,54,3
2011-12-25,10,55,3
2012-01-01,10,59,3
2012-01-08,8,60,3
2012-01-15,8,58,3
2012-01-22,9,57,3
2012-01-29,9,61,3
2012-02-05,9,62,3
2012-02-12,9,63,3
2012-02-19,10,63,3
2012-02-26,9,61,3
2012-03-04,9,69,3
2012-03-11,9,63,3
2012-03-18,8,64,3
2012-03-25,6,58,3
2012-04-01,6,60,3
2012-04-08,6,64,3
2012-04-15,5,65,3
2012-04-22,5,57,3
2012-04-29,5,60,3
2012-05-06,4,58,3
2012-05-13,4,60,3
2012-05-20,4,61,3
2012-05-27,4,58,3
2012-06-03,4,58,3
2012-06-10,4,58,3
2012-06-17,3,56,3
2012-06-24,3,57,3
2012-07-01,3,52,3
2012-07-08,3,55,3
2012-07-15,3,53,3
2012-07-22,3,52,3
2012-07-29,3,49,3
2012-08-05,4,51,3
2012-08-12,4,54,3
2012-08-19,5,56,4
2012-08-26,5,56,3
2012-09-02,5,54,3
2012-09-09,6,54,3
2012-09-16,7,54,3
2012-09-23,7,56,3
2012-09-30,8,57,3
2012-10-07,8,56,3
2012-10-14,8,100,3
2012-10-21,9,68,3
2012-10-28,8,57,3
2012-11-04,8,58,3
2012-11-11,10,59,3
2012-11-18,10,59,3
2012-11-25,12,60,3
2012-12-02,18,65,3
2012-12-09,20,67,3
2012-12-16,20,67,3
2012-12-23,25,78,3
2012-12-30,29,77,3
2013-01-06,70,77,3
2013-01-13,67,73,3
2013-01-20,43,78,3
2013-01-27,30,70,3
2013-02-03,22,70,3
2013-02-10,16,65,3
2013-02-17,15,67,3
2013-02-24,12,65,3
2013-03-03,11,64,3
2013-03-10,11,65,3
2013-03-17,9,62,3
2013-03-24,9,63,3
2013-03-31,9,64,3
2013-04-07,8,63,3
2013-04-14,6,58,3
2013-04-21,6,60,3
2013-04-28,5,62,3
2013-05-05,4,60,3
2013-05-12,4,59,3
2013-05-19,3,54,3
2013-05-26,4,56,3
2013-06-02,3,55,3
2013-06-09,3,53,4
2013-06-16,3,56,3
2013-06-23,3,57,4
2013-06-30,3,56,3
2013-07-07,3,56,3
2013-07-14,2,56,3
